,리뷰,별점,리뷰자 평균 평점,리뷰자 누적 리뷰 개수,영업 시간,이미지url,가게명,가게 주소,메뉴,카카오 url,업종
10,"맛있어요 된장찌개는 약간 슴슴한 맛이라 육회+언양불고기, 추가 한다면 막국수로 추천합니당",4,3.9,9,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
11,양이 작아도 맛은 있어요b,4,3.8,25,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
12,"전에는 이렇지 안했는데, 고기는 질기고 비싼고기 태워 나오고, 이사(理事)라는 카운터 담당하는 여직원은 자기들 잘못이 없고  고객을 나무라듯이 말하는데 이건 뭐 주객이 전도되었네  줄서서 먹을 필요없는집,장사가 좀되니 손님은 안중에 없는듯 대하는  태도, 후기올릴라면 올리라고 큰소리치는 모습, 정말  먼데서 찾아온 손님에게 이래도 되는가! 별1개 주기도 아깝다~",1,2.3,4,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
13,육회랑 냉면도 먹었는데 사진을 못 찍었네요. 이런 불고기는 처음 먹어봤는데 되게 만족스럽습니다. 육회도 술술 들어가더라구요.예약은 주말에 기본 1시간이상이라 테이블링으로 해서 금방 입장했어요.특히 서빙해주시는 여사님들이 기본적으로 너무 환한 미소로 친절하셔서 먹으면서도 기분이 좋았어요.이런 기업형 공장처럼 돌아가는 맛집들 가본 데 중에서 여기가 너무 친절해서 저는 문화 충격받았어요.사장님신건가? 사장님이 아니신것 같은데도 이렇게 바쁜데 저렇게 친절하게 일하신다고? 생각이 들었습니다.,5,4.6,56,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
14,"고기는 당연히 맛있고, 이 집의 킬포는 공기밥이다.입안에 기름장에 고기 찍어서 된장쌈 + 공기밥 + 적당히 알씨한 고추 넣으면 극락행",5,3.4,31,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
15,"불고기,, 미쳤어요 약간 고기가 자잘하긴한데 음식들이 간이 딱좋고 기다린시간이 안아까운맛! 주말기준 30분 웨이팅했는데 강추입니다🥰",5,4.0,22,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
16,바쁘신데도 쏘 친절 ..🥰맛보다 친절에 감동했어요 주차는 거의 못한다고 보면되고 미리 키오스크로 대기 해놔야할듯토요일 주말에 11:35에 갔는데 이미 웨이팅 13팀정도.. 먹고나오니 35팀..!! 👍🏻👍🏻,5,3.7,3,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
17,제 입맛에도 별로네요. 불고기 남은 찌꺼기 먹는 느낌. 양이 너무 작아요.,2,2.4,24,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
18,,4,3.8,12,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
19,"언양 불고기 2군데 먹어봤는데 제일 유명하대서 오히려 첫 번째 먹었던 곳 보다 기대했는데 실망을 많이 했어요..1시간 반 기다려서 먹을정도는 아닌 것 같아요.파리들 음식에 한 번씩 앉고, 개인적으로는 맛은 김치는 시고, 콩나물무침도 역대 처음 먹어본 맛. 이상하게 지역 사람들한테 평 괜찮고 멀리서 오는 사람들한테는 실망주는 곳",2,3.1,56,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
20,출장길에 언양을 지나가면서 언양불고기가 유명하다길래 먹어봤는데 정말 맛있네요. 육회는 진짜 고기가 좋은게 티가 날 정도였습니다. 친절하시고 후식 식혜는 꼭 드시길!,5,3.0,2,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
21,가격이 비싸지만 맛집마지막 식혜는ㅎㅎㅎ 역시 맛남역시 기와집! 추천함,5,3.1,100,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
22,육회 맛있어요!!!,4,4.4,56,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
23,"성인 3명이서 언양불고기 4인분 시켜서 잘 먹고왔습니다. 고기의 질도 좋고 서비스도 바쁘신 와중에 준수했습니다.다만, 주차공간이 식당 인지도에 비해 매우 협소하여 주차장 진입도 꽤나 기다려야하고, 웨이팅도 길긴합니다.하지만, 그래도 기다릴만한 맛집입니다!!",4,4.8,4,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
24,,1,3.3,755,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
25,육회 귯 ~ 불고기는 걍 불고기맛,5,5.0,3,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
26,전 맛있었어요,5,4.5,4,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
27,테이블에 참기름장 있는거 꼭 찍어드세요 꼭..!!!참기름장 찍어먹고 광명찾았음막국수는 절대절대먹지마시고 공기밥을 시키세요,5,3.4,9,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
28,맛있긴한데...  온라인으로 사먹는거나 다른데서 먹는거나 별반차이없음,3,4.5,17,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
29,기다리며  먹기엔 아닌듯기사 식당에 가서 먹는게 맛있는 식사가 될듯가사식당 보다 한 열배는 못한듯 하네요다시는 않올거 같네요,1,3.0,12,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
30,"오늘 언양불고기를 집사람에게 사주고싶어서 경기도 평택에서 달려왔습니다.인심 사납게도 양이 부족한 비빔막국수(막국수보다 야채들이 50% 차지),  1인분같은 2인분의 불고기, 밑반찬들은 하나같이 니맛도 내맛도 아니네요.1시간동안 웨이팅하느라 배가 고팠지만, 대부분 두고 나왔네요.서빙하는 남자직원들은 투원반선수?반찬그릇 툭툭 식탁위로 던지는 모습에 첫인상이 안좋았습니다.",1,3.5,13,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
31,다들 친절하신데다가 고기도 입에 들어가면 살살 녹아요 정말 맛있고 기분 좋게 잘 먹고 갑니다,5,4.4,152,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
32,맛있다 좌식인데 아기의자 있어서 아이랑 가기 좋다직원분들도 친절,5,4.3,104,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
33,"단짠불맛 조합 좋아요! 밥반찬, 술안주네요. 먹다보면 단맛이 강하다보니 끝에가서는 약간 물리기도 합니다. 그래도 맛있게 먹었어요.",4,4.0,401,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
34,부모님이랑 맛있게 식사한 집이에요,4,4.5,112,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
35,맛있네요. 비싸긴 하지만~ ㅋ그래도 나중에 다시와서 다 먹을 생각입니다^^,5,3.2,133,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
36,,5,4.6,91,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
37,그냥 맛있는정도...줄까지 설 정도인지는 몰겠네요,3,3.5,390,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
38,이맛 찐맛 참맛기름장 찐~해요,5,4.7,12,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
39,존 맛 탱,5,3.7,3,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
40,국내산 한우 암소라서 너무 맛잇었습니당 ㅋㅋㅋㅋ진주에서 언양까지 맛집 탐방 갔었네용 굿굿 불향 좋아요 ㅋㅋㅋ,5,4.8,107,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
41,육회 존맛 ㅠㅠ,5,3.8,10,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
42,언양은불고기,5,4.5,"1,877",매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
